movie id,movie title,genres,movie_summary
1,Toy Story (1995),"Animation,Children's,Comedy","Toy Story is a computer animated Disney media franchise that commenced in 1995 with the release of the animated film of the same name, produced by Pixar Animation Studios and released by Walt Disney Pictures. The franchise is based on the anthropomorphic concept that all toys, unknown to humans, are secretly alive, and the films focus on a diverse group of toys that feature a classic cowboy doll named Sheriff Woody and a modern spaceman action figure named Buzz Lightyear, principally voiced by Tom Hanks and Tim Allen, respectively. The group unexpectedly embark on adventures that challenge and change them.
The franchise consists mainly of four CGI animated films: Toy Story (1995), Toy Story 2 (1999), Toy Story 3 (2010), and Toy Story 4 (2019). Toy Story was the first feature-length film to be made entirely using computer-generated imagery. The first two films of the franchise were directed by John Lasseter, the third by Lee Unkrich, who acted as the co-director of the second film (together with Ash Brannon), and the fourth by Josh Cooley.
Toy Story is the 20th highest-grossing franchise worldwide, the fourth highest-grossing animated franchise, and is among the most critically acclaimed franchises of all time. The films, produced on a total budget of $520 million, have grossed more than $3 billion worldwide. Each film set box office records, with the third and fourth included in the top 50 all-time worldwide films. All four films have received universal acclaim from critics and audiences. The first two films were re-released in theaters as a Disney Digital 3-D ""double feature"" for at least two weeks in October 2009, as a promotion for the then-upcoming third film."
2,GoldenEye (1995),"Action,Adventure,Thriller","GoldenEye is a 1995 spy film and the seventeenth in the James Bond series produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 officer James Bond. It was directed by Martin Campbell and is the first in the series not to utilise any story elements from the works of novelist Ian Fleming. The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent an ex-MI6 agent, gone rogue, from using a satellite weapon against London to cause a global financial meltdown.
The film was released after a six-year hiatus in the series caused by legal disputes, during which Timothy Dalton resigned from the role of James Bond and was replaced by Pierce Brosnan. M was also recast, with actress Judi Dench becoming the first woman to portray the character, replacing Robert Brown. The role of Miss Moneypenny was also recast, with Caroline Bliss being replaced by Samantha Bond; Desmond Llewelyn was the only actor to reprise his role, as Q. It was the first Bond film made after the dissolution of the Soviet Union and the end of the Cold War, which provided a background for the plot. Principal photography for GoldenEye took place in the UK, Russia, Monte Carlo and Puerto Rico; it was the inaugural film production to be shot at Leavesden Studios. The first Bond film to use computer generated imagery, GoldenEye was also the final film of special effects supervisor Derek Meddings's career, and was dedicated to his memory.
The film accumulated a worldwide gross of US$350.7 million, considerably better than Dalton's films, without taking inflation into account. It received positive reviews, with critics viewing Brosnan as a definite improvement over his predecessor. It also received award nominations for ""Best Achievement in Special Effects"" and ""Best Sound"" from the British Academy of Film and Television Arts.The name ""GoldenEye"" pays homage to James Bond's creator, Ian Fleming. While working for British Naval Intelligence as a lieutenant commander, Fleming liaised with the Naval Intelligence Division to monitor developments in Spain after the Spanish Civil War in an operation codenamed Operation Goldeneye. Fleming used the name of this operation for his estate in Oracabessa, Jamaica."
3,Four Rooms (1995),Thriller,"Four Rooms is a 1995 American anthology comedy film co-written and co-directed by Allison Anders, Alexandre Rockwell, Robert Rodriguez, and Quentin Tarantino, loosely based on the adult short fiction writings of Roald Dahl. The story is set in the fictional Hotel Mon Signor in Los Angeles on New Year's Eve. Tim Roth plays Ted, the bellhop and main character in the frame story, whose first night on the job consists of four very different encounters with various hotel guests."
4,Get Shorty (1995),"Action,Comedy,Drama","Get Shorty is a 1995 American gangster crime thriller-comedy film based on Elmore Leonard's novel of the same name. The film is directed by Barry Sonnenfeld and stars John Travolta, Gene Hackman, Rene Russo, and Danny DeVito.
A sequel, titled Be Cool, was released in 2005.


== Plot ==
Chili Palmer (John Travolta) is a loan shark based in Miami who clashes with mobster Ray ""Bones"" Barboni (Dennis Farina) over a leather jacket that Barboni borrowed from Palmer without permission. They have two brief but violent confrontations, the first of which leaves Barboni with a broken nose and the second singes his scalp from a bullet from Chili's gun. 
Palmer's long-time mob boss Momo dies of a heart attack, and Palmer suddenly finds himself working for Barboni, whose first order is for Palmer to collect a loan debt owed by Leo Devoe (David Paymer). Palmer believed that Devoe was killed in a commercial airliner crash, but he had actually gotten off the plane and failed to re-board. After the plane crash, Devoe's wife Fay identifies his personal effects, and the airline offers her a check for $300,000. Chili visits her and discovers that Leo is still alive, partying and gambling in Las Vegas with the insurance settlement money.
While in Vegas looking for DeVoe, Palmer picks up a second job from a casino manager to collect a debt from Hollywood B-movie producer Harry Zimm."
5,Copycat (1995),"Crime,Drama,Thriller","Copycat is a 1995 American psychological thriller directed by Jon Amiel and starring Sigourney Weaver, Holly Hunter and Dermot Mulroney. The score was composed by Christopher Young.


== Plot ==
After giving a guest lecture on criminal psychology at a local university, Dr. Helen Hudson, a respected field expert on serial killers, is cornered in the restroom of the lecture hall by one of her previous subjects, Daryll Lee Cullum, who kills a police officer and brutally attacks her. Helen becomes severely agoraphobic as a result, sealing herself inside an expensive hi-tech apartment, conducting her entire life from behind a computer screen and assisted by a friend, Andy.
When a new series of murders spreads fear and panic across her home city of San Francisco, Inspector M.J. Monahan and her partner Reuben Goetz solicit Helen's expertise. Initially reluctant, Helen soon finds herself drawn into the warped perpetrator's game of wits. As the murders continue, Helen realizes that the elusive assailant draws inspiration from notorious serial killers, including Albert DeSalvo, The Hillside Strangler, David Berkowitz, Jeffrey Dahmer, and Ted Bundy. When the murderer begins contacting and even stalking Helen, she and M.J. realize that he is after them, and they enlist the aid of Cullum, who tells them what he knows about the killer.
Helen soon realizes that the Copycat Killer has been following the list of serial killers in the same order as she had presented them in her lecture at the university on the night of her attack, and the two work to figure out where and when he will strike next."
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,"Shanghai Triad is a 1995 Chinese crime-drama film, directed by Zhang Yimou and starring Gong Li. The script is written by Bi Feiyu based on Li Xiao's 1994 novel Rules of a Clan (门规). The film is set in the criminal underworld of 1930s Shanghai, Republic of China and spans seven days. Shanghai Triad's Chinese title reads ""Row, row, row to Grandma Bridge"", refers to a well known traditional Chinese lullaby.The film was the last collaboration between Zhang Yimou and actress Gong Li in the 1990s, thus ending a successful partnership that had begun with Zhang's debut, Red Sorghum, and had evolved into a romantic relationship as well. With the wrapping of filming for Shanghai Triad the two agreed to end their relationship both professionally and personally.  Gong Li and Zhang Yimou would not work together again until 2006's Curse of the Golden Flower."
7,Twelve Monkeys (1995),"Drama,Sci-Fi","12 Monkeys, also known as Twelve Monkeys, is a 1995 American neo-noir science fiction film directed by Terry Gilliam, inspired by Chris Marker's 1962 short film La Jetée, and starring Bruce Willis, Madeleine Stowe, and Brad Pitt, with Christopher Plummer and David Morse in supporting roles. After Universal Studios acquired the rights to remake La Jetée as a full-length film, David and Janet Peoples were hired to write the script.
Under Gilliam's direction, Universal granted the filmmakers a $29.5 million budget, and filming lasted from February to May 1995. The film was shot mostly in Philadelphia and Baltimore, where the story was set.
The film was released to critical praise and grossed $168 million worldwide. Pitt was nominated for the Academy Award for Best Supporting Actor, and won a Golden Globe Award for his performance. The film also won and was nominated for various categories at the Saturn Awards.

"
8,Babe (1995),"Children's,Comedy,Drama","Babe is a 1995 comedy-drama film directed by Chris Noonan, produced by George Miller, written by both, narrated by Roscoe Lee Browne, and starring James Cromwell and Magda Szubanski with the voices of Christine Cavanaugh, Miriam Margolyes, Hugo Weaving, and Danny Mann. It is an adaptation of Dick King-Smith's 1983 novel The Sheep-Pig, also known as Babe: The Gallant Pig in the US, which tells the story of a pig raised as livestock who wants to do the work of a sheepdog. The main animal characters are played by a combination of real and animatronic pigs and Border Collies.After seven years of development, Babe was filmed in Robertson, New South Wales, Australia. The talking-animal visual effects were done by Rhythm & Hues Studios and Jim Henson's Creature Shop. The film was both a box office and critical success, grossing $254 million worldwide. It earned seven Oscar nominations, including Best Picture, winning Best Visual Effects.
In 1998, a sequel directed by Miller, Babe: Pig in the City, was released.

"
9,Dead Man Walking (1995),Drama,"Dead Man Walking is a 1995 American crime drama film starring Susan Sarandon and Sean Penn, and co-produced and directed by Tim Robbins, who adapted the screenplay from the non-fiction book of the same name.
Sister Helen Prejean (Sarandon) establishes a special relationship with Matthew Poncelet (Penn), a character based on convicted murderers Elmo Patrick Sonnier and Robert Lee Willie. He is a prisoner on death row in Louisiana, and she visits him as his spiritual adviser after having corresponded with him."
10,Richard III (1995),"Drama,War","Richard III is a 1995 British drama film adapted from William Shakespeare's play of the same name, starring Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne, Kristin Scott Thomas, Maggie Smith, John Wood, Tim McInnerny and Dominic West. The film sets the play in 1930s Britain with Richard as  a fascist sympathiser plotting to usurp the throne."
